"Orden","OS Dominante","Producto","Doble Modem","OMS E.","E. Saydot","Cod. Tec","Fac. OK ","Estado","Sin Datos","Relacionadas","Datos B_O","Error Captura","Error Subida","Diagnostico"
"184226960","","DTH","NO","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Completadas_y_en_Proceso","SI","184226954 - RG - PSTN : DO,184226960 - R001 - DTH : DE,184226957 - RG - ADSL : DO,","SI","","",""
"184167169","184167094","IPTV","NO","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184167166 - RG - PSTN : DO,184167169 - R001 - IPTV : DE,184167168 - R001 - ADSL : DE,","NO","","",""
"184167169","184167094","ADSL","NO","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184167166 - RG - PSTN : DO,184167169 - R001 - IPTV : DE,184167168 - R001 - ADSL : DE,","NO","","",""
"184144782","184144781","ADSL","NO","DE","PC : Pendiente de Cierre en OMS","0101:COMPLETADA OK","OK","Completadas_y_en_Proceso","NO","184144782 - R001 - ADSL : DE,184144781 - R001 - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184144782"
"183974699","","VSIP","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974698 - R001 - IPTV : DE,183974697 - R001 - ADSL : DE,183974699 - R001 - VSIP : DE,","NO","","","Orden no cargada, esperando orden 183974699 error intentando descomponer la orden"
"183974698","","IPTV","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974698 - R001 - IPTV : DE,183974697 - R001 - ADSL : DE,183974699 - R001 - VSIP : DE,","NO","","","Orden no cargada, esperando orden 183974699 error intentando descomponer la orden"
"183974697","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974698 - R001 - IPTV : DE,183974697 - R001 - ADSL : DE,183974699 - R001 - VSIP : DE,","NO","","","Orden no cargada, esperando orden 183974699 error intentando descomponer la orden"
"184170456","","DTH","NO","DE","XC : Pendiente de Cancelar","0211:CONDICIONES NO    PROCEDEN","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184170456 - R001 - DTH : DE,","SI","","","Orden 184170456 Delivery en OMS, Cancelada en M6"
"184003535","","DTH","NO","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184003535 - R001 - DTH : DE,","SI","","","Orden 184003535 Delivery en OMS, Cancelada en M6"
"184108412","","DTH","NO","DE","XC : Pendiente de Cancelar","0603:TIENE SERVICIO CON OTRA OS","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184108412 - R001 - DTH : DE,","SI","","","Orden 184108412 Delivery en OMS, Cancelada en M6"
"184175432","184175433","ADSL","NO","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184175434 - R001 - DTH : DE,184175433 - R001 - PSTN : DE,184175432 - R001 - ADSL : DE,","NO","","","Orden Bloqueda"
"184102013","184102012","IPTV","SI","DE","PR : Pendiente Reprogramar Compromiso","0235:","NO","Completadas_y_en_Proceso","NO","184102006 - TPTL - PSTN : DO,184102007 - TPTL - ADSL : DO,184102012 - TPTL - PSTN : DO,184102013 - TPTL - IPTV : DE,","NO","","","Orden Hermana 184102013 Retenida en tarea manual CLIENTE en M6"
"184052024","","PSTN","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184052024 - R001 - PSTN : DE,184052025 - MVIP - ADSL : DE,","NO","","","Quitese no capturado"
"184162283","","DTH","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184162281 - RG - ADSL : DO,184162275 - RG - PSTN : DO,184162282 - RC05 - IPTV : DO,184162283 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"184022035","","PSTN","","DO","NotFound","","NO","Completadas_Total","NO","184022035 - R001 - PSTN : DO,","SI","","",""
"184000790","","DTH","NO","DE","XC : Pendiente de Cancelar","0211:CONDICIONES NO    PROCEDEN","NO","Completadas_y_en_Proceso","NO","184000789 - RG - ADSL : DO,184000790 - R001 - DTH : DE,184000788 - RG - PSTN : DO,","NO","","","Orden 184000790 Delivery en OMS, Cancelada en M6"
"183974095","","DTH","NO","DE","XC : Pendiente de Cancelar","0211:CONDICIONES NO    PROCEDEN","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974095 - R001 - DTH : DE,","SI","","","Orden 183974095 Delivery en OMS, Cancelada en M6"
"184048104","","DTH","NO","DE","XC : Pendiente de Cancelar","0211:CONDICIONES NO    PROCEDEN","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184048104 - R001 - DTH : DE,","SI","","","Orden 184048104 Delivery en OMS, Cancelada en M6"
"184025004","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184025004 - R001 - PSTN : DE,184025005 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"184253893","","ADSL","NO","DE","NotFound","","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184253893 - R001 - ADSL : DE,184253894 - R001 - VSIP : DE,","NO","","","ERROR GRABANDO ORDEN DE SERVICIO"
"183920698","","DTH","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","183920696 - RG - PSTN : DO,183920697 - R001 - ADSL : DO,183920698 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"184019412","184019411","IPTV","NO","DE","PR : Pendiente Reprogramar Compromiso","0235:","NO","Completadas_y_en_Proceso","NO","184019410 - R001 - ADSL : DO,184019411 - R001 - PSTN : DO,184019412 - R001 - IPTV : DE,","NO","","","Orden Hermana 184019412 Retenida en tarea manual CLIENTE en M6"
"184056103","184049819","ADSL","NO","DE","PR : Pendiente Reprogramar Compromiso","0235:","NO","Completadas_y_en_Proceso","NO","184056103 - R001 - ADSL : DE,184056102 - RG - PSTN : DO,184056104 - R001 - IPTV : DE,","NO","","","Orden Hermana 184056104 Retenida en tarea manual CLIENTE en M6"
"184056104","184049819","IPTV","NO","DE","PR : Pendiente Reprogramar Compromiso","0235:","NO","Completadas_y_en_Proceso","NO","184056103 - R001 - ADSL : DE,184056102 - RG - PSTN : DO,184056104 - R001 - IPTV : DE,","NO","","","Orden Hermana 184056104 Retenida en tarea manual CLIENTE en M6"
"183963831","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","183963830 - RG - ADSL : DE,183963828 - RG - PSTN : DO,183963831 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183960025","","DTH","NO","DE","XC : Pendiente de Cancelar","0601:CLIENTE NO CONTACTADO","NO","Completadas_y_en_Proceso","SI","183960025 - R001 - DTH : DE,183960021 - RG - ADSL : DO,183960018 - RG - PSTN : DO,","SI","","",""
"183721378","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183721379 - R001 - ADSL : DE,183721378 - R001 - PSTN : DE,","NO","","","Enviada a saydot y sin tracking carga"
"183965129","","DTH","NO","DE","XC : Pendiente de Cancelar","0216:HACER CITA A SOLICITUD DEL CLIENTE.","NO","Completadas_y_en_Proceso","NO","183965127 - RG - PSTN : DO,183965128 - R001 - ADSL : DO,183965129 - R001 - DTH : DE,","NO","","","Orden 183965129 Delivery en OMS, Cancelada en M6"
"184003225","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184003226 - R001 - IPTV : DE,184003225 - R001 - PSTN : DE,184003224 - R001 - ADSL : DE,","NO","","","Orden no cargada, esperando orden 184003226 error intentando descomponer la orden"
"184028045","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184028045 - R001 - PSTN : DE,184028046 - R001 - ADSL : DE,","NO","","",""
"183724323","183724322","ADSL","NO","DE","NotFound",":","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183724322 - R001 - PSTN : DE,183724323 - R001 - ADSL : DE,","NO","","",""
"183479726","","PSTN","NO","DE","RC : Orden Resucitada","0101:COMPLETADA OK","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183479726 - TMPI - PSTN : DE,","SI","","NA",""
"183724322","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183724322 - R001 - PSTN : DE,183724323 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"183138238","","DTH","NO","DE","NT : NO TBS",":","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183138238 - R001 - DTH : DE,","SI","","","Orden Hermana 183138238 Retenida en tarea manual ACT_STB en M6"
"183284698","","PSTN","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183284698 - R001 - PSTN : DE,183284697 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183749219","","IPTV","","DE","NotFound","","NO","Completadas_Canceladas_y_en_proceso","NO","183749210 - RG - ADSL : DE,183749218 - MCTV - DTH : CA,183749213 - RG - PSTN : DO,183749219 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183284697","","IPTV","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183284698 - R001 - PSTN : DE,183284697 - MCTV - IPTV : DE,","NO","","","Quitese no capturado"
"183138025","","DTH","NO","DE","NT : NO TBS",":","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183138025 - R001 - DTH : DE,","SI","","","Orden Hermana 183138025 Retenida en tarea manual ACT_STB en M6"
"183138079","","DTH","NO","DE","NT : NO TBS",":","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183138079 - R001 - DTH : DE,","SI","","","Orden Hermana 183138079 Retenida en tarea manual ACT_STB en M6"
"183038366","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183038366 - R001 - PSTN : DE,183038367 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"182048180","","IPTV","SI","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","182048179 - TPTL - PSTN : DE,182048180 - TPTL - IPTV : DE,182048177 - TPTL - PSTN : DO,182048178 - TPTL - ADSL : DE,","NO","","","Orden no cargada, esperando orden 182048178 error intentando descomponer la orden"
"183138001","","DTH","NO","DE","NT : NO TBS",":","NO","Completadas_y_en_Proceso","SI","183138001 - R001 - DTH : DE,183137999 - RG - ADSL : DO,183137995 - RG - PSTN : DO,","SI","","",""
"183038367","","ADSL","NO","DE","NotFound","","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183038366 - R001 - PSTN : DE,183038367 - R001 - ADSL : DE,","NO","","",""
"183096215","","VSIP","NO","DE","TD : PENDIENTE DISEÑO TBS",":","Error de diseño o facilidades no enviadas: 183096214","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183096214 - R001 - ADSL : DE,183096215 - R001 - VSIP : DE,","NO","","","REPETIR CIERRE: OS: 183096214"
"183096214","183096215","ADSL","NO","DE","TD : PENDIENTE DISEÑO TBS",":","Error de diseño o facilidades no enviadas: 183096214","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183096214 - R001 - ADSL : DE,183096215 - R001 - VSIP : DE,","NO","","","REPETIR CIERRE: OS: 183096214"
"182666318","","PSTN","NO","DE","PC: Completada","0101:COMPLETADA OK","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","182666318 - R001 - PSTN : DE,","SI","","NA",""
"183012791","","DTH","NO","DE","NotFound","","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183012789 - R001 - ADSL : DE,183012790 - R001 - PSTN : DE,183012791 - R001 - DTH : DE,","NO","","",""
"183012790","","PSTN","NO","DE","NotFound","","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183012789 - R001 - ADSL : DE,183012790 - R001 - PSTN : DE,183012791 - R001 - DTH : DE,","NO","","",""
"182800480","","PSTN","SI","DE","TD : PENDIENTE DISEÑO TBS",":","Error de diseño o facilidades no enviadas: 182800479","Completadas_y_en_Proceso","NO","182800481 - TPTL - PSTN : DE,182800480 - TPTL - IPTV : DO,182800477 - TPTL - PSTN : DO,182800479 - TPTL - ADSL : DO,","NO","Doble Modem mal relacionado: CANCELAR Y REDIGITAR","",""
"183012789","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183012789 - R001 - ADSL : DE,183012790 - R001 - PSTN : DE,183012791 - R001 - DTH : DE,","NO","","","Enviada a saydot y sin tracking carga"
"181800965","","PSTN","NO","DE","PC: Completada","0101:COMPLETADA OK","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","181800965 - R001 - PSTN : DE,","SI","","NA",""
"182048179","","PSTN","SI","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","182048179 - TPTL - PSTN : DE,182048180 - TPTL - IPTV : DE,182048177 - TPTL - PSTN : DO,182048178 - TPTL - ADSL : DE,","NO","","","Orden no cargada, esperando orden 182048178 error intentando descomponer la orden"
"179630299","","PSTN","NO","DE","PC: Completada","0101:COMPLETADA OK","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","179630299 - R001 - PSTN : DE,","SI","","NA",""
"182808050","","PSTN","NO","DE","TD : PENDIENTE DISEÑO TBS","0310:NO PUERTO","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","182808050 - R001 - PSTN : DE,","SI","","NA",""
"182077060","","VSIP","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","182077060 - R001 - VSIP : DE,182077059 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"182077059","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","182077060 - R001 - VSIP : DE,182077059 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"182096067","","PSTN","NO","DE","PC: Completada",":","OK","Completadas_y_en_Proceso","NO","182096066 - RC03 - ADSL : DO,182096067 - R001 - PSTN : DE,","NO","","","PSTN ENVIO CIERRE SIN NUMERO TN: OS: 182096067"
"184260435","","PSTN","SI","DE","NV : No visita",":","NO","Completadas_y_en_Proceso","SI","184260439 - TPTL - IPTV : DO,184260437 - TPTL - ADSL : DE,184260435 - TPTL - PSTN : DE,184260434 - TPTL - PSTN : DO,","NO","","",""
"184263677","184263673","IPTV","SI","DO","PC: Completada",":","NO","Completadas_y_en_Proceso","SI","184263673 - TPTL - PSTN : DO,184263674 - TPTL - PSTN : DE,184263675 - TPTL - ADSL : DE,184263677 - TPTL - IPTV : DO,","SI","","",""
"184263675","184263674","ADSL","SI","DE","NV : No visita",":","NO","Completadas_y_en_Proceso","SI","184263673 - TPTL - PSTN : DO,184263674 - TPTL - PSTN : DE,184263675 - TPTL - ADSL : DE,184263677 - TPTL - IPTV : DO,","SI","","",""
"184260434","","PSTN","SI","DO","PC: Completada",":","NO","Completadas_y_en_Proceso","SI","184260439 - TPTL - IPTV : DO,184260437 - TPTL - ADSL : DE,184260435 - TPTL - PSTN : DE,184260434 - TPTL - PSTN : DO,","NO","","",""
"184263674","","PSTN","SI","DE","NV : No visita",":","NO","Completadas_y_en_Proceso","SI","184263673 - TPTL - PSTN : DO,184263674 - TPTL - PSTN : DE,184263675 - TPTL - ADSL : DE,184263677 - TPTL - IPTV : DO,","SI","","",""
"184263673","","PSTN","SI","DO","PC: Completada",":","NO","Completadas_y_en_Proceso","SI","184263673 - TPTL - PSTN : DO,184263674 - TPTL - PSTN : DE,184263675 - TPTL - ADSL : DE,184263677 - TPTL - IPTV : DO,","SI","","",""
"184253064","","ADSL","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184253064","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184253064 - R114 - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 184253064"
"184256551","184256547","IPTV","SI","DE","CC : Espera de Cierre",":","Error de diseño o facilidades no enviadas: 184256551","Completadas_y_en_Proceso","NO","184256551 - TPTL - IPTV : DE,184256547 - TPTL - PSTN : DO,184256552 - TPTL - PSTN : DO,184256549 - TPTL - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 184256549"
"184256551","184256552","ADSL","SI","DE","PD : Pendiente de Despacho",":","Error de diseño o facilidades no enviadas: 184256551","Completadas_y_en_Proceso","NO","184256551 - TPTL - IPTV : DE,184256547 - TPTL - PSTN : DO,184256552 - TPTL - PSTN : DO,184256549 - TPTL - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 184256549"
"184252183","","PSTN","NO","DE","NotFound","","OK","Completadas_y_en_Proceso","NO","184252184 - RC01 - ADSL : DO,184252183 - RG - PSTN : DE,","NO","","",""
"184252509","","PSTN","NO","DE","NotFound","","Error de diseño o facilidades no enviadas: 184252512","Completadas_y_en_Proceso","NO","184252510 - RG - DTH : DO,184252509 - RG - PSTN : DE,184252512 - RC01 - ADSL : DE,","NO","","",""
"184269600","","PSTN","NO","DE","NotFound","","Error de diseño o facilidades no enviadas: 184269601","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184269601 - RG - ADSL : DE,184269600 - RG - PSTN : DE,","NO","","",""
"184269601","","ADSL","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184269601","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184269601 - RG - ADSL : DE,184269600 - RG - PSTN : DE,","NO","","","REPETIR CIERRE: OS: 184269601"
"184253982","","PSTN","NO","DE","NotFound","","OK","Completadas_y_en_Proceso","NO","184253988 - RC01 - ADSL : DO,184253982 - RG - PSTN : DE,","NO","","",""
"184253011","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184253011 - RG - PSTN : DE,","SI","","OK",""
"184250204","","ADSL","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184250204","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184250204 - R114 - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 184250204"
"184258048","","IPTV","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184258047","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184258046 - RG - VSIP : DE,184258047 - RG - ADSL : DE,184258048 - RG - IPTV : DE,","NO","","",""
"184258047","184258048","ADSL","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184258047","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184258046 - RG - VSIP : DE,184258047 - RG - ADSL : DE,184258048 - RG - IPTV : DE,","NO","","",""
"184261678","","ADSL","","DO","NotFound","","NO","Completadas_Total","NO","184261680 - RG - DTH : DO,184261676 - RG - PSTN : DO,184261678 - RG - ADSL : DO,","NO","","",""
"184258046","","VSIP","NO","DE","NotFound","","Error de diseño o facilidades no enviadas: 184258047","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184258046 - RG - VSIP : DE,184258047 - RG - ADSL : DE,184258048 - RG - IPTV : DE,","NO","","",""
"184048100","","ADSL","NO","DE","TD : PENDIENTE DISEÑO TBS",":","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184048100 - R114 - ADSL : DE,","NO","","","184048100 Retenida en tarea automatica CKTID en M6"
"184264295","184264296","ADSL","NO","DE","CC : Espera de Cierre",":","Error de diseño o facilidades no enviadas: 184264295","Completadas_y_en_Proceso","NO","184264296 - RG - IPTV : DO,184264295 - RG - ADSL : DE,184264293 - RG - VSIP : DO,","NO","","","REPETIR CIERRE: OS: 184264295"
"184253793","","ADSL","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184253793","Completadas_y_en_Proceso","NO","184253793 - RG - ADSL : DE,184253792 - RG - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184253793"
"184250401","","IPTV","SI","DO","PC: Completada",":","Error de diseño o facilidades no enviadas: 184250397","Completadas_y_en_Proceso","NO","184250394 - RG - PSTN : DO,184250401 - RG - IPTV : DO,184250395 - RG - PSTN : DE,184250397 - RG - ADSL : DE,","NO","","",""
"184250397","","ADSL","SI","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184250397","Completadas_y_en_Proceso","NO","184250394 - RG - PSTN : DO,184250401 - RG - IPTV : DO,184250395 - RG - PSTN : DE,184250397 - RG - ADSL : DE,","NO","","",""
"184250395","","PSTN","SI","DE","NotFound","","Error de diseño o facilidades no enviadas: 184250397","Completadas_y_en_Proceso","NO","184250394 - RG - PSTN : DO,184250401 - RG - IPTV : DO,184250395 - RG - PSTN : DE,184250397 - RG - ADSL : DE,","NO","","",""
"184250394","","PSTN","SI","DO","NotFound","","Error de diseño o facilidades no enviadas: 184250397","Completadas_y_en_Proceso","NO","184250394 - RG - PSTN : DO,184250401 - RG - IPTV : DO,184250395 - RG - PSTN : DE,184250397 - RG - ADSL : DE,","NO","","",""
"184258248","","PSTN","NO","DE","NotFound","","Error de diseño o facilidades no enviadas: 184258249","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184258248 - RG - PSTN : DE,184258249 - RC02 - ADSL : DE,","NO","","",""
"184252939","","ADSL","NO","DE","NV : No visita",":","Error de diseño o facilidades no enviadas: 184252939","Completadas_y_en_Proceso","NO","184252939 - RG - ADSL : DE,184252938 - RG - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184252939"
